Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Free Documents|ReportField=ProjectFullPath~Free Documents|ReportField=Title~Bill of Materials For Schematic Document [schematic2.SchDoc]|ReportField=TotalQuantity~45|ReportField=ReportTime~15:42:20|ReportField=ReportDate~12.03.2015|ReportField=ReportDateTime~12.03.2015 15:42:20|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12.03.2015|ReportField=CurrentTime~15:36:56|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\REPOSITORY\GIT\cube_matrix\altyium\schematic2.SchDoc|ReportField=DocumentName~schematic2.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~05.02.2015|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~schematic2.SchDoc|ReportField=DataSourceFullPath~D:\REPOSITORY\GIT\cube_matrix\altyium\schematic2.SchDoc
C1, C2, C3, C4, C5|5|100nF, 100nF, 10uF, 100nF, 100nF
P1, P2|2|
P3|1|
Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8|8|
R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25|25|20, 20, 20, 20, 20, 20, 20, 20, 91, 91, 91, 91, 91, 91, 91, 91, 20, 20, 20, 20, 20, 20, 20, 20, 10kOm
U1, U2, U3, U4|4|
